Nombre,Url,País,Biografía
Ophir Alviárez,https://es.wikipedia.org/wiki/Ophir_Alvi%C3%A1rez,Venezuela,"Ophir Alviárez (Caracas, Distrito Capital, 1970) es una poeta venezolana. Reside en los Estados Unidos y hace vida activa en la cultura de Houston. Es miembro de la Asociación de Escritores de Mérida."
Raiza Andrade,https://es.wikipedia.org/wiki/Raiza_Andrade,Venezuela,"Raiza Andrade (Caracas, 21 de julio de 1945) es una poetisa, narradora, cineasta, dramaturga venezolana. Es socióloga y doctora en Educación, profesora titular y coordinadora del Postgrado en Propiedad Intelectual de la Universidad de Los Andes. Miembro de la Asociación de Escritores de Mérida."
Laura Antillano,https://es.wikipedia.org/wiki/Laura_Antillano,Venezuela,"Laura Mercedes Antillano Armas  (Caracas, Venezuela, 8 de agosto de 1950) es una escritora venezolana, que ha incursionado en los géneros de ensayo, poesía, cuento, novela y crítica literaria. También ha trabajado como titiritera, guionista de radio y televisión y promotora cultural. Desde sus 10 años estuvo vinculada a la ciudad de Maracaibo y posteriormente, a partir de 1976, a la ciudad de Valencia."
Ana Rosa Angarita Trujillo,https://es.wikipedia.org/wiki/Ana_Rosa_Angarita_Trujillo,Venezuela,"Ana Rosa Angarita Trujillo (Caracas, Venezuela, 1935) es una escritora, pintora, educadora, caricaturista, psicóloga y promotora cultural venezolana. "
Vivian Abenshushan,https://es.wikipedia.org/wiki/Vivian_Abenshushan,México,"Vivian Abenshushan (Ciudad de México, 23 de junio de 1972) es escritora y editora mexicana. En su obra, combina la literatura con las nuevas tecnologías. Ha logrado destacados premios literarios."
Sylvia Aguilar Zéleny,https://es.wikipedia.org/wiki/Sylvia_Aguilar_Z%C3%A9leny,México,"Sylvia Aguilar Zéleny (Hermosillo, Sonora, México, 21 de septiembre de 1973) es una escritora y catedrática mexicana. Autora de cuentos y novelas en los que explora temas alrededor de la infancia, la vida en la frontera entre México y Estados Unidos y la normalización de la violencia familiar y de género."
Yásnaya Elena Aguilar Gil,https://es.wikipedia.org/wiki/Y%C3%A1snaya_Aguilar,México,"Yásnaya Elena Aguilar Gil (Ayutla Mixe, Oaxaca, 1981) es lingüista, escritora, traductora, activista de derechos lingüísticos e investigadora mexicana. Sus lenguas de trabajo son ayuujk (mixe), español e inglés. Ha realizado proyectos que atienden a las necesidades de los hablantes cuya lengua corre el riesgo de desaparecer."
Flor Aguilera García,https://es.wikipedia.org/wiki/Flor_Aguilera,México,"Flor Aguilera García es una escritora mexicana de literatura para niños y jóvenes adultos. Ha publicado decenas de novelas, libros de cuento y poemarios.En 2020 lanzó “Como Pizarnik en París”, un podcast sobre poetas del mundo y su poesía."
Gabriela Aguirre Sánchez,https://es.wikipedia.org/wiki/Gabriela_Aguirre_S%C3%A1nchez,México,"Gabriela Aguirre Sánchez (Querétaro, 1977) es una poeta y escritora mexicana, ganadora de premios nacionales como el Premio Nacional de Poesía Enriqueta Ochoa."
Norma Alarcón,https://es.wikipedia.org/wiki/Norma_Alarc%C3%B3n,México,"Norma Alarcón (30 de noviembre de 1943) es una escritora chicana, profesora, y publicista en EE. UU. Fue fundadora del ""Third Woman Press"" y una figura mayor del feminismo chicano."
Orfa Alarcón,https://es.wikipedia.org/wiki/Orfa_Alarc%C3%B3n,México,"Orfa Alarcón (Monterrey, Nuevo León, 23 de diciembre de 1979) es una escritora y editora mexicana. "
Carmen Alardín,https://es.wikipedia.org/wiki/Carmen_Alard%C3%ADn,México,"Carmen Alardín (Tampico, Tamaulipas; 5 de julio de 1933 - Ciudad de México; 10 de mayo de 2014) fue una poetisa mexicana. Residió en Monterrey, Nuevo León, por largas temporadas. Fue licenciada en letras alemanas por la Universidad Nacional Autónoma de México (UNAM) y obtuvo una maestría en letras mexicanas. Hizo una especialización en el Instituto Goethe de Múnich, Alemania. El amor, la vida y el deseo son los temas recurrentes en su obra de escritora. "
Aleida Violeta Vazquez Cisneros,https://es.wikipedia.org/wiki/Aleida_Violeta_Vazquez_Cisneros,México,Aleida Violeta Vazquez Cisneros (Cuajinicuilapa) es una poeta y activista afromexicana. Es integrante de la asociación civil Mano Amiga de la Costa Chica.
María de Alva Levy,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_Alva,México,"María de Alva Levy (Monterrey; 23 de enero de 1969) es una novelista mexicana. Dos de sus novelas han sido finalistas del premio Fernando Lara de Novela en España. "
Lorena Amkie Cheirif,https://es.wikipedia.org/wiki/Lorena_Amkie,México,"Lorena Amkie Cheirif (Ciudad de México, 1981) es una escritora y comunicóloga mexicana, conocida principalmente por su saga Gothic Doll. Actualmente también cuenta con un canal en Youtube."
